記事ID,タイトル,文字数,削除スコア,問題点,URL,削除推奨
257,「シンプル対局時計」プライバシーポリシー,1119,13,文字数やや不足: 1119文字; プライバシーポリシー記事,https://techsimpleapp.main.jp/2026/02/08/%e3%80%8c%e3%82%b7%e3%83%b3%e3%83%97%e3%83%ab%e5%af%be%e5%b1%80%e6%99%82%e8%a8%88%e3%80%8d%e3%83%97%e3%83%a9%e3%82%a4%e3%83%90%e3%82%b7%e3%83%bc%e3%83%9d%e3%83%aa%e3%82%b7%e3%83%bc/,削除
265,プライバシーポリシー / Privacy Policy – つみたて習慣 / Habit Stack,3152,10,プライバシーポリシー記事,https://techsimpleapp.main.jp/2026/02/13/%e3%83%97%e3%83%a9%e3%82%a4%e3%83%90%e3%82%b7%e3%83%bc%e3%83%9d%e3%83%aa%e3%82%b7%e3%83%bc-privacy-policy-%e3%81%a4%e3%81%bf%e3%81%9f%e3%81%a6%e7%bf%92%e6%85%a3-habit-stack/,削除
261,ナンプレ道場 プライバシーポリシー,2059,10,プライバシーポリシー記事,https://techsimpleapp.main.jp/2026/02/10/%e3%83%8a%e3%83%b3%e3%83%97%e3%83%ac%e9%81%93%e5%a0%b4-%e3%83%97%e3%83%a9%e3%82%a4%e3%83%90%e3%82%b7%e3%83%bc%e3%83%9d%e3%83%aa%e3%82%b7%e3%83%bc/,削除
252,「AI入れたけど活用できてない？」非エンジニアでもわかる「生成AI活用ガイド」で業務効率を爆上げする方法,2332,10,疑問形タイトル; プレスリリース的（マッチ数: 2）; 推測表現が多い（18箇所）,https://techsimpleapp.main.jp/2026/02/06/%e3%80%8cai%e5%85%a5%e3%82%8c%e3%81%9f%e3%81%91%e3%81%a9%e6%b4%bb%e7%94%a8%e3%81%a7%e3%81%8d%e3%81%a6%e3%81%aa%e3%81%84%ef%bc%9f%e3%80%8d%e9%9d%9e%e3%82%a8%e3%83%b3%e3%82%b8%e3%83%8b%e3%82%a2%e3%81%a7/,削除
52,【簡単】WordPressブログへのGoogleアナリティクス設定方法,645,10,文字数不足: 645文字,https://techsimpleapp.main.jp/2024/04/27/%e3%80%90%e7%b0%a1%e5%8d%98%e3%80%91wordpress%e3%83%96%e3%83%ad%e3%82%b0%e3%81%b8%e3%81%aegoogle%e3%82%a2%e3%83%8a%e3%83%aa%e3%83%86%e3%82%a3%e3%82%af%e3%82%b9%e8%a8%ad%e5%ae%9a%e6%96%b9%e6%b3%95/,削除
1,ToDoリスト-シンプル-,154,10,文字数不足: 154文字,https://techsimpleapp.main.jp/2023/05/06/todo%e3%83%aa%e3%82%b9%e3%83%88%e3%82%b7%e3%83%b3%e3%83%97%e3%83%ab/,削除
263,Amazon広告、「掲載枠別管理」まだ手動で消耗してる？Picaro.aiの新機能で入札最適化と運用負荷を激減させる秘訣,2370,7,疑問形タイトル; プレスリリース的（マッチ数: 3）,https://techsimpleapp.main.jp/2026/02/12/amazon%e5%ba%83%e5%91%8a%e3%80%81%e3%80%8c%e6%8e%b2%e8%bc%89%e6%9e%a0%e5%88%a5%e7%ae%a1%e7%90%86%e3%80%8d%e3%81%be%e3%81%a0%e6%89%8b%e5%8b%95%e3%81%a7%e6%b6%88%e8%80%97%e3%81%97%e3%81%a6%e3%82%8b/,削除
249,「Amazon広告、まだ手動？」Picaro.AIの新機能で広告費対効果80%UPも夢じゃない！,2541,7,疑問形タイトル; プレスリリース的（マッチ数: 2）,https://techsimpleapp.main.jp/2026/02/03/%e3%80%8camazon%e5%ba%83%e5%91%8a%e3%80%81%e3%81%be%e3%81%a0%e6%89%8b%e5%8b%95%ef%bc%9f%e3%80%8dpicaro-ai%e3%81%ae%e6%96%b0%e6%a9%9f%e8%83%bd%e3%81%a7%e5%ba%83%e5%91%8a%e8%b2%bb%e5%af%be%e5%8a%b9/,削除
236,「家族の送迎、もう限界？」医療・福祉搬送のプロ集団が移動の悩みを解決するワケ,1927,7,疑問形タイトル; プレスリリース的（マッチ数: 2）,https://techsimpleapp.main.jp/2026/01/21/%e3%80%8c%e5%ae%b6%e6%97%8f%e3%81%ae%e9%80%81%e8%bf%8e%e3%80%81%e3%82%82%e3%81%86%e9%99%90%e7%95%8c%ef%bc%9f%e3%80%8d%e5%8c%bb%e7%99%82%e3%83%bb%e7%a6%8f%e7%a5%89%e6%90%ac%e9%80%81%e3%81%ae%e3%83%97/,削除
234,「セキュリティ、何から？」経産省お墨付き「★3・★4」取得運用を専門家と！中小企業担当者の悩みを解決する新サービス爆誕,1847,7,疑問形タイトル; プレスリリース的（マッチ数: 2）,https://techsimpleapp.main.jp/2026/01/19/%e3%80%8c%e3%82%bb%e3%82%ad%e3%83%a5%e3%83%aa%e3%83%86%e3%82%a3%e3%80%81%e4%bd%95%e3%81%8b%e3%82%89%ef%bc%9f%e3%80%8d%e7%b5%8c%e7%94%a3%e7%9c%81%e3%81%8a%e5%a2%a8%e4%bb%98%e3%81%8d%e3%80%8c%e2%98%853/,削除
